Party_3
Myaing PDF
Myingyan District PDF
Monywa District PDF
Shwebo District PDF
Sagaing District PDF
Pakokku District PDF
Yinmarbin District PDF
Civilian Defence Security Organization Myaung - CDSOM
Peacock Warrior PDF
SHAR HTOO WAW Technical Force
Phoenix PDF
Salingyi Special Task Force (SSTF)
Pauk PDF
Unicorn Guerrilla Force
Natogyi PDF
Peacock Brothers PDF
Shwebo PDF
Earthquake PDF
Young Force (UG)
Myinmu PDF
Yesagyo PDF
Pakokku Thurain
Black Eagle Defence  Force -MMU
Pakokku PDF
MS PDF
Mandalay PDF
KLG PDF
Myingyan District Drone Strike
Middle Revolutionary Technical Front - MRTF
Union Brothers - UB
Seven People Defense Force
27 Revolution Forces - Myingyan
Chin National Defense Force (CNDF)
Shwebo Federal Army (SBFA)
Sagaing PDF
People's Liberation Army - PLA
Support To Federal Democracy
Shwebo Crocodile
Shwebo Arr Marn
Ngazun PDF
Anyar Myay Guerrilla Force
Mandalay District PDF
Urban Underground Revolution Force - Yesagyo (UURF-YSO)
Salingyi PDF
Myaung PDF
Lightning Guerrilla Force
CDF - Mindat
HG Fighters SBO
PDF (Zoland)
Eagle Guerrilla Force (EGF)
Chaung-U PDF
Monywa PDF
Chindwin Brothers PDF
Taw Thar Gyi Artillery Guerrilla Force
Wetlet PDF
Kamma PDF
Kalay PDF
Mahuya Shwebo Thar LDF
Snake Eyes PDF
Bo Ba Taw PDF
Natogyi Regional Defence Force - NRDF
Red Wing PDF
Shwebo Falcon LDF
PDF - Taloke
Nyaung-U District PDF
B-21 Kani PDF
Madaya PDF
CDF - Matupi
Myaung Special PDF
Myingyan Black Tiger (MBT)
Burmese Guerrilla Force - BGF
Shwebo People's Security Force
People's Knight Defence Force (MMU)
Myanmar Royal Dragon Army - MRDA
Bo Lin Yaung
Budalin PDF
Wild Elephant
Shwe Bo Eye For Eye PDF
Chindwin Dynamite
Ma Phyu Lay PDF
Gangaw District PDF
Myaung T.G.R
Ayadaw PDF
Wolf Guerrilla Force
Black Cobra Force (BCF) - Pakokku
Theikdishin Taik Nal PDF
Minbu District PDF
Shin Shin PDF
Myingyan PDF
CDF - Kanpetlet
Meiktila District PDF
Bo Sar Guerrilla Force
Daung Marn PDF
Bar Ma Hti group
Yaung Ni Guerrilla Force
Zarmani Daung LPDF
Kyaukse Nagar Ni Guerrilla Force
Daung Ta Marn PDF
Doe Be Brothers Force (DBBF)
Ye-U PDF
South Monywa PDF
Bo Kyar Yine PDF
Middle Revolution Task Force (MRTF)
Phoe Maung Pyan Lar B movie Supporter Group of Daw Na Column
Southern YSO PDF
Peacock King PDF
MPL Middle Land Guerrilla Force
Buffalo Soldiers Freedom Force
Civil Revolution Force - CRF (Myinmu)
Pentagram PDF
Kyauk Khit Ko Mauk Pyit Mel Supporter Group
Lightning Drone Force
Zay Yar Thwae PDF
Khin-U PDF
Cat's Claw PDF
Taze PDF
Ukraine Jeep Car PDF
Flying Dragon Force PDF
Black Cheetah
Zarmani Guerrilla Force
Dragon King Guerrilla Force
PDF - Kalay District
Taungtha PDF
Red Dragon Guerrilla Force (Myingyan)
Ghost Team Ranger Myinmu - GTR
Brother Defence Force BDF
MGN 35 Guerrilla Force
Nagar Nyi Naung PDF
Taungtha TTA PDF
Galone Guerrilla Force - Myaing
Chauk PDF
Pan Pyo Lat PDF
Ma Ta Htaung (Ta Kaung Bwar) - Depayin
Phoenix Guerilla
Salingyi Border Task Force - SBTF
Kyaukse District Defence Force - KDDF
Maraland Defense Force (MDF)
Danger Force LPDF
Depayin PDF
Black Leopard Army
Royal Falcon PDF
Chindwin Attack Force
Zero Guerilla Force
Myaing Village Revolution Front (MVRF)
Kamma Defence Force (KMDF)
Myaung Village Armed Force
Salin PDF
Wings Of Kalay
Sar Taung Thunder PDF
Chindwin Galone Yazar Guerrilla Force
DMG PDF
Sagaing District PDF (Drone Battalion)
Yaw Defence Force-YDF
People's Army to Fight Dictatorship (PAFD)
Fight For Federal
Daung Fighter (MMU) PDF
Monywa Ninja Team
TGYRc PDF - Ngazun
Mahuya Wild Elephant PDF
Zar Ni Thway
Tein Ta Marn Air Operation PDF
Young Wolf - LPDF
Magway District PDF
CDF - KKG
Northern Tiger Group-NTG
A Maye Let Yone Guerrilla Force
Myaung Union Army
Royal Defence Force - RDF
Yesagyo Revolution Group (YRG)
Black Eagle PDF
Brave Heart Army (BHA)
Golden Triangle Force (GTF)
11 Brothers Revolution Force
CDF - Hakha
Zarmani PDF
Chindwin Defence Force
Liberation Army of Central Region (LACR)
925 Guerrilla Force
Anyar Peacock PDF
Alpha Special Force PDF
Bo Japan Gyi PDF
Drop for Justice - DFJ
Golden Eagles PDF
Monywa Ranger Force - Truth Army
Chaung-U Revolution Army (CRA)
Aung Baw Group
Justice Revolution Force
Sintgaing Local People's Defence Force
Mingin PDF
Daung Thwe Ni PDF
Myaing U.A.V Fighter
Zarmani Blood Guerilla Army - Myaing
Black Eagle Drone Force -MMU
Burma National Revolutionary Army – BNRA
Moe Nyo Revolution Force (MNRF)
Pyinoolwin District PDF
Mahlaing PDF
DOG Killer PDF
Myaung People’s Security Force
Shwe Nyar Myay PDF
Crocodile and Tigers Shwebo
Royal Tiger Guerilla Force
Monywa The Boy PDF
Pakokku People Defense Force - PPDF
Pale PDF
Tabin Shwe Htee PDF
Red Dragon Guerrilla Force (Myaing)
Naung Yoe PDF
MDF - Shwebo
Mogok PDF
Wolf Brothers PDF
Fighter Brotherhood Guerrilla Army - FBGA
Kani People's Defence Force (KLG)
Mae Maung PDF
Aung San Force
Bogyoke Guerrilla Force
MGN Tiger
Black Wolf - Army
DK PDF (MMU)
Bo Tauk Tun (MBTT)
Chindwin Toe Na Yar PDF
T.G.R Women Drone Force
Anti-dictatorship Revolution People's Army
People's Democratic Army - PDO/PDA
Thayet District PDF
Cho Maing Maing Yinmarbin - Kani Alliance Force
Myaing Warriors
Thway Thauk Revolution Force
Shwebo Defence Force
Kanbalu District PDF
Ngwe Dwin Revolution Force (NDRF)
Dar Min Gyi Force
TYK Guerrilla Force
Triple Two Task Force
Eagle Defence Force
Tha Byay Nyo Guerrilla Force
BED Nga Nyo PDF
King Cobra PDF
Chauk Guerrilla Force (CHK)
Falcon PDF
Ayadaw Rocket LPDF
Ar Lar Wa Ka PDF
Blood Brothers PDF
BLY Guerrilla Force
"""Who am I"" PDF"
CDF - Chin Defence Force
Son of Shwebo Without Borders PDF
Bo Thurein PDF
Forest Crow PDF
Gangaw PDF
MSaiNaw Nga Ye Mee PDF
White Horse King Guerrilla Force
Yinmarbin PDF
Black Cobra
Pakokku Ranger
Singu PDF
Dragon Brothers
King Fighter PDF
Royal Brother Defence Force
Black Shadow PDF
Red Eagle PDF
Student Armed Force
Super Fighter PDF - Yesagyo
God of Death PDF
8 Stars Guerrilla Force - Myingyan
CDF – Thantlang
Golden Eagle Force - Monywa
Myaypyant Region Defence Force - MRDF
West Ayeyar Guerilla Force (WAGF)
Myaung Revolution Army - MRA
Pyi Thu Arr Marn PDF
Meiktila Guerrilla Force - MHLG PDF
Myaing Underground Defence Force - MUGDF
Black Wolf PDF
Anyar Thar Guerrilla Force
Northern Yesagyo Guerrilla Force
People’s Servant Revolution- Wetlet
Shwe Joe Phyu Guerrilla Force
5/Fighter Group PDF
Connect PDF
MGN Ranger
Salingyi G-Z PDF
Black Vote Fighter (Yinmarbin)
Pakokku Urban Guerrilla Force (PUGF)
Shwe Chan Thar Guerrilla Force
Dragon Urban Guerrilla (DUGF- KU Dragon)
Fight For Freedom (F.F.F)
CDF CDM - Siyin
A Lin Tan Guerrilla Force - Myaing
Bamar Army
Peacock Drone Team
Alpha 7
AREA 71 Defence Force Monywa
Monywa Bandula and members LDF
96 Soldiers PDF
Farmers Revolution Force - CHU
Kanbalu PDF
Generation Z Power - GZP
Ayeyarwaddy Prince Guerrilla Force
Monywa Special Datedate Kyal
Tiger Brother PDF
Bo Kaung Kin Revolution Alliance
Mahuya Wild Buffalo PDF
Freedom Revolution Force (FRF)
Daung Sitt Aung LPDF
Dawna Column
Kyaukse District PDF
Urban Hunter Force (UHF)
Yat Kha Brother LPDF (MDY)
Tar Naw Yat Kha PDF
Kind-hearted Bone-heads PDF
Pakokku Special Task Force
Motherland Special Task Force
Sekkyar PDF
Eagle PDF
PCM PDF
U Lay Gyi PDF
Burma Liberation Democratic Front (BLDF)
Mine Prince Underground Guerrilla Force
Anyar Mone Tine Guerrilla Force
Yoma Yar Zar PDF
Youth Guerrilla Counter Revolution (TGYR)
Shwe Hin Thar PDF
Myaung Drone Force (M.D.F)
Hkamti District PDF
Ranger Kalay Defence Force -RKDF
Fighter 9 Force
Kendo PDF
Chindwin Tiger PDF
Aung Tha Byay PDF
Cobra One PDF
PK for All People - PDF
Bo Ta Say PDF - Pauk
Pakokku Underground Force - PUGF
Moe Shey Dar Yan
Spring Youth PDF
Black Dragon Special Task Force
Spring Dove PDF
Kanbalu Underground Warriors
Daung Ni Column
Hlyat Ta Pyat Sun Nyo PDF
Naung Gyi PDF
Salingyi Revolution Defense Force (SRDF)
Yinmarbin - Salingyi Artillery Alliance
Yesagyo People's Security Force
Naung Yoe Army
Bo La Yaung Local Defence Force
Bo Mway Soe
Myinmu Defence Force (MMDF)
Ta Mar Myay Guerrilla Force
Kawlin PDF
Mone Taing group
Ngar Myi Ya PDF
Wolf Guerrilla LDF - Ye-U
